title,body,publisher,link,date_created,note_type
Learn Data Science Foundations,"Data Science is a field which uses methods and algorithms for extraction of information from data provided either it is structured data or unstructured data. Due to growth in data and evolution in technology, the domain of Data Science has seen a tremendous rise.This course will give you a comprehensive introduction to Data Science and Analytics Landscape. You will learn all the fundamentals of Data Science and Data Science Life Cycle.",Google,https://bit.ly/3G1Qp7i,2022-12-17,Free Courses
Learn Python Basics for Data Science by Google (Free Course),"This course is designed to teach you the fundamentals of the Python programming language, especially for the purpose of data analysis. We'll look at how to structure and group information in your program with data types, use programming logic so that your program does what you want it to and how to use and write functions so that you can save time when writing programs.",Google,https://bit.ly/3HIZiDP,2022-12-16,Free Courses
An Easy Beginners Guide to SQLite in Python and Pandas,"Welcome to an easy beginner's guide to SQLite. In this article, you’ll learn about what SQLite is, how to connect to databases, create tables, insert and query for data, and access SQLite in Pandas. I am assuming that you have a basic understanding of SQL and my focus in the article will be on how to use SQLite in Python.",Medium,https://bit.ly/3Yqh6JX,2022-12-18,Articles
